data,mes,ano,canal,produto,categoria,regiao,quantidade,valor,empresa
2026-01-13,Janeiro,2026,WhatsApp,Caderno,Acessórios,Sul,1,35.68,Redorai
2026-05-31,Maio,2026,Loja física,Kit onboarding,Kits,Norte,5,1251.47,Redorai
2026-03-11,Março,2026,App,Camiseta logo,Vestuário,Norte,3,269.05,Redorai
2026-01-08,Janeiro,2026,Site,Caderno,Acessórios,Centro-Oeste,4,159.14,Redorai
2026-01-20,Janeiro,2026,Marketplace,Garrafa,Acessórios,Sudeste,4,323.44,Redorai
2026-03-14,Março,2026,Site,Gift card 100,Digital,Nordeste,1,91.17,Redorai
2026-03-01,Março,2026,Site,Gift card 100,Digital,Sul,1,97.97,Redorai
2026-02-22,Fevereiro,2026,Loja física,Caderno,Acessórios,Sul,2,76.73,Redorai
2026-05-27,Maio,2026,Loja física,Kit onboarding,Kits,Nordeste,2,498.58,Redorai
2026-07-03,Julho,2026,App,Kit onboarding,Kits,Sul,1,244.64,Redorai
2026-05-14,Maio,2026,Loja física,Garrafa,Acessórios,Norte,3,229.05,Redorai
2026-04-05,Abril,2026,Marketplace,Garrafa,Acessórios,Centro-Oeste,3,240.47,Redorai
2026-04-25,Abril,2026,Loja física,Garrafa,Acessórios,Norte,2,147.27,Redorai
2026-07-20,Julho,2026,Marketplace,Gift card 100,Digital,Centro-Oeste,3,290.14,Redorai
2026-04-16,Abril,2026,Marketplace,Camiseta logo,Vestuário,Norte,1,80.32,Redorai
2026-02-08,Fevereiro,2026,Marketplace,Boné,Vestuário,Sul,1,64.32,Redorai
2026-03-26,Março,2026,Loja física,Camiseta logo,Vestuário,Norte,3,262.58,Redorai
2026-05-31,Maio,2026,Site,Caneca,Acessórios,Centro-Oeste,2,93.43,Redorai
2026-02-09,Fevereiro,2026,Loja física,Boné,Vestuário,Sul,3,193.53,Redorai
2026-07-31,Julho,2026,Loja física,Boné,Vestuário,Centro-Oeste,1,67.99,Redorai
2026-03-01,Março,2026,WhatsApp,Moletom,Vestuário,Sul,3,551.83,Redorai
2026-08-23,Agosto,2026,Loja física,Mouse pad,Acessórios,Nordeste,1,40.75,Redorai
2026-07-30,Julho,2026,Site,Mouse pad,Acessórios,Sudeste,4,186.89,Redorai
2026-03-31,Março,2026,WhatsApp,Garrafa,Acessórios,Sudeste,4,325.63,Redorai
2026-03-04,Março,2026,WhatsApp,Mouse pad,Acessórios,Sudeste,1,42.56,Redorai
2026-01-15,Janeiro,2026,Marketplace,Garrafa,Acessórios,Norte,2,158.74,Redorai
